bottom_themes,cross_sectional_spearman,d1_role,evidence_lane,horizon,long_short_spread,negative_leg_count,negative_leg_return,portfolio,positive_leg_count,positive_leg_return,signal_date,theme_count,top_themes
uranium_nuclear,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.013346046566823921,1,0.013346046566823921,top1_bottom1,0,0.0,2012-01-30,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.0007663826459136103,2,0.0007663826459136103,top2_bottom2,0,0.0,2012-01-30,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.0007663826459136103,2,0.0007663826459136103,top_half_bottom_half,0,0.0,2012-01-30,4,
semiconductors,0.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.02395733586788995,1,-0.02395733586788995,top1_bottom1,0,0.0,2012-01-31,4,
semiconductors|cloud_computing,0.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.03696548655974086,2,-0.03696548655974086,top2_bottom2,0,0.0,2012-01-31,4,
semiconductors|cloud_computing,0.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.03696548655974086,2,-0.03696548655974086,top_half_bottom_half,0,0.0,2012-01-31,4,
semiconductors,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.016267353289581177,1,-0.016267353289581177,top1_bottom1,0,0.0,2012-01-31,4,
semiconductors|cloud_computing,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.03548767442640666,2,-0.03548767442640666,top2_bottom2,0,0.0,2012-01-31,4,
semiconductors|cloud_computing,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.03548767442640666,2,-0.03548767442640666,top_half_bottom_half,0,0.0,2012-01-31,4,
uranium_nuclear,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.000965273060461902,1,0.000965273060461902,top1_bottom1,0,0.0,2012-02-01,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.0015689372392747591,2,-0.0015689372392747591,top2_bottom2,0,0.0,2012-02-01,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.0015689372392747591,2,-0.0015689372392747591,top_half_bottom_half,0,0.0,2012-02-01,4,
uranium_nuclear,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.0028957578123816052,1,0.0028957578123816052,top1_bottom1,0,0.0,2012-02-01,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.006611899145950062,2,-0.006611899145950062,top2_bottom2,0,0.0,2012-02-01,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.006611899145950062,2,-0.006611899145950062,top_half_bottom_half,0,0.0,2012-02-01,4,
uranium_nuclear,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.005741636458868271,1,0.005741636458868271,top1_bottom1,0,0.0,2012-02-02,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003887369118248607,2,0.003887369118248607,top2_bottom2,0,0.0,2012-02-02,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003887369118248607,2,0.003887369118248607,top_half_bottom_half,0,0.0,2012-02-02,4,
uranium_nuclear,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.013397131457204003,1,0.013397131457204003,top1_bottom1,0,0.0,2012-02-02,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.0014705580730597911,2,0.0014705580730597911,top2_bottom2,0,0.0,2012-02-02,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.0014705580730597911,2,0.0014705580730597911,top_half_bottom_half,0,0.0,2012-02-02,4,
uranium_nuclear,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.01242827916120659,1,0.01242827916120659,top1_bottom1,0,0.0,2012-02-03,4,
uranium_nuclear|semiconductors,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003458939040704101,2,0.003458939040704101,top2_bottom2,0,0.0,2012-02-03,4,
uranium_nuclear|semiconductors,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003458939040704101,2,0.003458939040704101,top_half_bottom_half,0,0.0,2012-02-03,4,
uranium_nuclear,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.05162520634832257,1,0.05162520634832257,top1_bottom1,0,0.0,2012-02-03,4,
uranium_nuclear|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.030307982776926035,2,0.030307982776926035,top2_bottom2,0,0.0,2012-02-03,4,
uranium_nuclear|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.030307982776926035,2,0.030307982776926035,top_half_bottom_half,0,0.0,2012-02-03,4,
uranium_nuclear,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.008653860614144193,1,0.008653860614144193,top1_bottom1,0,0.0,2012-02-06,4,
uranium_nuclear|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.004596425528287429,2,-0.004596425528287429,top2_bottom2,0,0.0,2012-02-06,4,
uranium_nuclear|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.004596425528287429,2,-0.004596425528287429,top_half_bottom_half,0,0.0,2012-02-06,4,
uranium_nuclear,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.041346182178933044,1,0.041346182178933044,top1_bottom1,0,0.0,2012-02-06,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.019063954030229813,2,0.019063954030229813,top2_bottom2,0,0.0,2012-02-06,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.019063954030229813,2,0.019063954030229813,top_half_bottom_half,0,0.0,2012-02-06,4,
uranium_nuclear,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.05071770759938188,1,0.05071770759938188,top1_bottom1,0,0.0,2012-02-07,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.028846236530453262,2,0.028846236530453262,top2_bottom2,0,0.0,2012-02-07,4,
uranium_nuclear|semiconductors,1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.028846236530453262,2,0.028846236530453262,top_half_bottom_half,0,0.0,2012-02-07,4,
uranium_nuclear,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.06411483905658588,1,0.06411483905658588,top1_bottom1,0,0.0,2012-02-07,4,
uranium_nuclear|semiconductors,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.03220270173662687,2,0.03220270173662687,top2_bottom2,0,0.0,2012-02-07,4,
uranium_nuclear|semiconductors,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.03220270173662687,2,0.03220270173662687,top_half_bottom_half,0,0.0,2012-02-07,4,
uranium_nuclear,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.041346182178933044,1,0.041346182178933044,top1_bottom1,0,0.0,2012-02-08,4,
uranium_nuclear|semiconductors,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.028848645949539564,2,0.028848645949539564,top2_bottom2,0,0.0,2012-02-08,4,
uranium_nuclear|semiconductors,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.028848645949539564,2,0.028848645949539564,top_half_bottom_half,0,0.0,2012-02-08,4,
uranium_nuclear,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.058653842274253964,1,0.058653842274253964,top1_bottom1,0,0.0,2012-02-08,4,
uranium_nuclear|semiconductors,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.03463384777807055,2,0.03463384777807055,top2_bottom2,0,0.0,2012-02-08,4,
uranium_nuclear|semiconductors,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.03463384777807055,2,0.03463384777807055,top_half_bottom_half,0,0.0,2012-02-08,4,
uranium_nuclear,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.0402355104519212,1,0.0402355104519212,top1_bottom1,0,0.0,2012-02-09,4,
uranium_nuclear|semiconductors,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.021422483382063873,2,0.021422483382063873,top2_bottom2,0,0.0,2012-02-09,4,
uranium_nuclear|semiconductors,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.021422483382063873,2,0.021422483382063873,top_half_bottom_half,0,0.0,2012-02-09,4,
uranium_nuclear,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.00785082674236337,1,-0.00785082674236337,top1_bottom1,0,0.0,2012-02-09,4,
uranium_nuclear|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.014073237583657972,2,-0.014073237583657972,top2_bottom2,0,0.0,2012-02-09,4,
uranium_nuclear|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.014073237583657972,2,-0.014073237583657972,top_half_bottom_half,0,0.0,2012-02-09,4,
uranium_nuclear,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.025870606605828517,1,0.025870606605828517,top1_bottom1,0,0.0,2012-02-10,4,
uranium_nuclear|semiconductors,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.013080206513540416,2,0.013080206513540416,top2_bottom2,0,0.0,2012-02-10,4,
uranium_nuclear|semiconductors,-0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.013080206513540416,2,0.013080206513540416,top_half_bottom_half,0,0.0,2012-02-10,4,
uranium_nuclear,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.039801020833245104,1,-0.039801020833245104,top1_bottom1,0,0.0,2012-02-10,4,
uranium_nuclear|semiconductors,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.02903096067916222,2,-0.02903096067916222,top2_bottom2,0,0.0,2012-02-10,4,
uranium_nuclear|semiconductors,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.02903096067916222,2,-0.02903096067916222,top_half_bottom_half,0,0.0,2012-02-10,4,
uranium_nuclear,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.037373692743739584,1,-0.037373692743739584,top1_bottom1,0,0.0,2012-02-13,4,
uranium_nuclear|semiconductors,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.03391374321464102,2,-0.03391374321464102,top2_bottom2,0,0.0,2012-02-13,4,
uranium_nuclear|semiconductors,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.03391374321464102,2,-0.03391374321464102,top_half_bottom_half,0,0.0,2012-02-13,4,
uranium_nuclear,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.08484849808179806,1,-0.08484849808179806,top1_bottom1,0,0.0,2012-02-13,4,
uranium_nuclear|semiconductors,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.05076977860686804,2,-0.05076977860686804,top2_bottom2,0,0.0,2012-02-13,4,
uranium_nuclear|semiconductors,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.05076977860686804,2,-0.05076977860686804,top_half_bottom_half,0,0.0,2012-02-13,4,
uranium_nuclear,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.05983774382450746,1,-0.05983774382450746,top1_bottom1,0,0.0,2012-02-14,4,
uranium_nuclear|solar_energy,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.04323157517332399,2,-0.04323157517332399,top2_bottom2,0,0.0,2012-02-14,4,
uranium_nuclear|solar_energy,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.04323157517332399,2,-0.04323157517332399,top_half_bottom_half,0,0.0,2012-02-14,4,
uranium_nuclear,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.10243410055647773,1,-0.10243410055647773,top1_bottom1,0,0.0,2012-02-14,4,
uranium_nuclear|solar_energy,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.05756379729211625,2,-0.05756379729211625,top2_bottom2,0,0.0,2012-02-14,4,
uranium_nuclear|solar_energy,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.05756379729211625,2,-0.05756379729211625,top_half_bottom_half,0,0.0,2012-02-14,4,
solar_energy,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.0603476075128444,1,-0.0603476075128444,top1_bottom1,0,0.0,2012-02-15,4,
solar_energy|uranium_nuclear,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.07535150346163844,2,-0.07535150346163844,top2_bottom2,0,0.0,2012-02-15,4,
solar_energy|uranium_nuclear,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.07535150346163844,2,-0.07535150346163844,top_half_bottom_half,0,0.0,2012-02-15,4,
solar_energy,0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.028436007247322204,1,0.028436007247322204,top1_bottom1,0,0.0,2012-02-15,4,
solar_energy|uranium_nuclear,0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.035020573745953354,2,-0.035020573745953354,top2_bottom2,0,0.0,2012-02-15,4,
solar_energy|uranium_nuclear,0.2,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.035020573745953354,2,-0.035020573745953354,top_half_bottom_half,0,0.0,2012-02-15,4,
solar_energy,-0.6,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.005775149926871448,1,0.005775149926871448,top1_bottom1,0,0.0,2012-02-16,4,
solar_energy|uranium_nuclear,-0.6,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.024270528635009003,2,-0.024270528635009003,top2_bottom2,0,0.0,2012-02-16,4,
solar_energy|uranium_nuclear,-0.6,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.024270528635009003,2,-0.024270528635009003,top_half_bottom_half,0,0.0,2012-02-16,4,
solar_energy,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.09179338070050824,1,0.09179338070050824,top1_bottom1,0,0.0,2012-02-16,4,
solar_energy|uranium_nuclear,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.019708541046975947,2,0.019708541046975947,top2_bottom2,0,0.0,2012-02-16,4,
solar_energy|uranium_nuclear,0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.019708541046975947,2,0.019708541046975947,top_half_bottom_half,0,0.0,2012-02-16,4,
